request_id,timestamp,pickup_zone_id,pickup_zone_name,pickup_lat,pickup_lon,dropoff_zone_id,dropoff_zone_name,dropoff_lat,dropoff_lon,trip_distance_km,trip_duration_min,surge_multiplier,base_fare,total_fare,tip,driver_earnings,passenger_count,weather,hour,day_of_week,is_weekend
REQ_202609010014_7_003,2026-09-01 00:14:36,7,Marina & Golden Gate View,37.80625,-122.42681,3,Metro Int'l Airport,37.63447,-122.3755,19.63,51.9,1.0,56.99,56.99,8.55,51.29,1,Clear,0,1,0
REQ_202609010017_4_004,2026-09-01 00:17:24,4,Waterfront & Pier Dining,37.81294,-122.41961,3,Metro Int'l Airport,37.60804,-122.37669,23.09,59.8,1.0,66.0,66.0,9.9,59.4,2,Clear,0,1,0
REQ_202609010017_7_004,2026-09-01 00:17:29,7,Marina & Golden Gate View,37.7963,-122.4362,2,Midtown Tech Hub,37.7795,-122.44976,2.22,7.1,1.0,9.97,9.97,1.5,8.98,2,Clear,0,1,0
REQ_202609010018_3_009,2026-09-01 00:18:19,3,Metro Int'l Airport,37.61077,-122.37307,1,Downtown Financial,37.79552,-122.43845,21.33,55.8,1.0,61.43,61.43,9.21,55.28,1,Clear,0,1,0
REQ_202609010020_9_000,2026-09-01 00:20:05,9,Central Railway Station,37.78133,-122.39606,8,Sunset Residential District,37.71883,-122.52354,13.19,35.7,1.0,39.73,39.73,5.96,35.76,1,Clear,0,1,0
REQ_202609010021_8_001,2026-09-01 00:21:13,8,Sunset Residential District,37.75822,-122.50326,9,Central Railway Station,37.7975,-122.39879,10.17,27.5,1.0,31.43,31.43,0.0,23.57,1,Clear,0,1,0
REQ_202609010022_5_001,2026-09-01 00:22:08,5,Mission Nightlife & Arts,37.75736,-122.41753,1,Downtown Financial,37.79146,-122.42463,3.84,11.3,1.0,14.37,14.37,0.0,10.78,1,Clear,0,1,0
REQ_202609010022_4_007,2026-09-01 00:22:21,4,Waterfront & Pier Dining,37.81142,-122.42291,7,Marina & Golden Gate View,37.79417,-122.44322,2.62,8.6,1.0,11.23,11.23,0.0,8.42,2,Clear,0,1,0
REQ_202609010022_6_008,2026-09-01 00:22:28,6,University Campus & Med,37.75829,-122.46036,10,Convention Center Arena,37.79321,-122.38063,8.01,21.6,1.0,25.48,25.48,3.82,22.93,2,Clear,0,1,0
REQ_202609010022_10_008,2026-09-01 00:22:56,10,Convention Center Arena,37.77788,-122.40789,3,Metro Int'l Airport,37.59591,-122.35606,20.74,53.7,1.0,59.63,59.63,8.94,53.66,1,Clear,0,1,0
REQ_202609010023_1_000,2026-09-01 00:23:52,1,Downtown Financial,37.79764,-122.39615,7,Marina & Golden Gate View,37.8022,-122.43939,3.83,11.6,1.0,14.46,14.46,0.0,10.84,1,Clear,0,1,0
REQ_202609010026_8_000,2026-09-01 00:26:08,8,Sunset Residential District,37.75262,-122.49626,6,University Campus & Med,37.77627,-122.46711,3.67,10.4,1.0,13.75,13.75,0.0,10.31,1,Clear,0,1,0
REQ_202609010028_1_004,2026-09-01 00:28:17,1,Downtown Financial,37.79028,-122.39537,9,Central Railway Station,37.78878,-122.35516,3.54,11.1,1.0,13.75,13.75,2.06,12.37,4,Clear,0,1,0
REQ_202609010028_7_007,2026-09-01 00:28:31,7,Marina & Golden Gate View,37.79527,-122.44006,3,Metro Int'l Airport,37.61416,-122.38655,20.68,54.7,1.0,59.87,59.87,0.0,44.9,1,Clear,0,1,0
REQ_202609010030_3_010,2026-09-01 00:30:29,3,Metro Int'l Airport,37.63048,-122.39186,10,Convention Center Arena,37.79512,-122.42666,18.56,48.5,1.0,53.89,53.89,8.08,48.5,4,Clear,0,1,0
REQ_202609010030_10_005,2026-09-01 00:30:50,10,Convention Center Arena,37.78126,-122.39841,5,Mission Nightlife & Arts,37.78805,-122.43247,3.09,9.0,1.0,12.21,12.21,1.83,10.99,1,Clear,0,1,0
REQ_202609010031_6_001,2026-09-01 00:31:26,6,University Campus & Med,37.76443,-122.45295,3,Metro Int'l Airport,37.63679,-122.38823,15.29,42.3,1.0,45.83,45.83,6.87,41.24,3,Clear,0,1,0
REQ_202609010031_3_005,2026-09-01 00:31:31,3,Metro Int'l Airport,37.60057,-122.36319,1,Downtown Financial,37.77641,-122.41374,20.05,53.2,1.0,58.21,58.21,0.0,43.66,4,Clear,0,1,0
REQ_202609010032_3_008,2026-09-01 00:32:08,3,Metro Int'l Airport,37.6351,-122.39139,4,Waterfront & Pier Dining,37.79951,-122.3921,18.28,48.6,1.0,53.42,53.42,0.0,40.06,1,Clear,0,1,0
REQ_202609010032_4_005,2026-09-01 00:32:08,4,Waterfront & Pier Dining,37.80285,-122.42317,8,Sunset Residential District,37.77373,-122.50927,8.23,22.1,1.0,26.05,26.05,3.91,23.45,1,Clear,0,1,0
REQ_202609010032_4_000,2026-09-01 00:32:13,4,Waterfront & Pier Dining,37.81322,-122.42238,9,Central Railway Station,37.78337,-122.38089,4.93,13.5,1.0,17.1,17.1,0.0,12.82,1,Clear,0,1,0
REQ_202609010033_6_000,2026-09-01 00:33:51,6,University Campus & Med,37.77259,-122.46925,1,Downtown Financial,37.8181,-122.39519,8.24,23.2,1.0,26.46,26.46,3.97,23.82,2,Clear,0,1,0
REQ_202609010033_7_002,2026-09-01 00:33:53,7,Marina & Golden Gate View,37.80162,-122.42639,1,Downtown Financial,37.82001,-122.37507,4.95,14.1,1.0,17.35,17.35,0.0,13.01,1,Clear,0,1,0
REQ_202609010034_10_000,2026-09-01 00:34:20,10,Convention Center Arena,37.78116,-122.40527,4,Waterfront & Pier Dining,37.8203,-122.44331,5.49,15.2,1.0,18.7,18.7,2.8,16.82,3,Clear,0,1,0
REQ_202609010034_6_005,2026-09-01 00:34:40,6,University Campus & Med,37.76579,-122.45275,4,Waterfront & Pier Dining,37.77419,-122.42555,2.57,9.4,1.0,11.41,11.41,1.71,10.27,1,Clear,0,1,0
REQ_202609010035_9_003,2026-09-01 00:35:12,9,Central Railway Station,37.77436,-122.39476,2,Midtown Tech Hub,37.80751,-122.44637,5.84,15.2,1.0,19.34,19.34,2.9,17.4,1,Clear,0,1,0
REQ_202609010035_6_014,2026-09-01 00:35:25,6,University Campus & Med,37.75497,-122.46225,5,Mission Nightlife & Arts,37.76503,-122.38666,6.74,19.8,1.0,22.56,22.56,3.38,20.3,1,Clear,0,1,0
REQ_202609010035_6_007,2026-09-01 00:35:52,6,University Campus & Med,37.76068,-122.45282,5,Mission Nightlife & Arts,37.76933,-122.42529,2.6,8.5,1.0,11.16,11.16,1.67,10.04,1,Clear,0,1,0
REQ_202609010036_9_004,2026-09-01 00:36:08,9,Central Railway Station,37.77793,-122.39228,8,Sunset Residential District,37.77462,-122.46667,6.55,18.8,1.0,21.87,21.87,0.0,16.4,2,Clear,0,1,0
REQ_202609010036_4_003,2026-09-01 00:36:23,4,Waterfront & Pier Dining,37.8069,-122.41424,3,Metro Int'l Airport,37.59214,-122.39324,23.95,61.3,1.0,68.07,68.07,0.0,51.05,1,Clear,0,1,0
REQ_202609010037_10_001,2026-09-01 00:37:32,10,Convention Center Arena,37.79345,-122.40088,9,Central Railway Station,37.80215,-122.41316,1.45,4.0,1.0,7.51,7.51,1.13,6.76,1,Clear,0,1,0
REQ_202609010037_3_012,2026-09-01 00:37:39,3,Metro Int'l Airport,37.63336,-122.37533,2,Midtown Tech Hub,37.76578,-122.41458,15.12,38.6,1.0,44.23,44.23,6.63,39.8,1,Clear,0,1,0
REQ_202609010038_10_003,2026-09-01 00:38:26,10,Convention Center Arena,37.78194,-122.40406,1,Downtown Financial,37.79516,-122.38685,2.11,8.0,1.0,10.1,10.1,0.0,7.57,1,Clear,0,1,0
REQ_202609010039_10_002,2026-09-01 00:39:50,10,Convention Center Arena,37.77266,-122.39202,3,Metro Int'l Airport,37.59912,-122.36184,19.48,51.0,1.0,56.41,56.41,8.46,50.77,1,Clear,0,1,0
REQ_202609010040_10_009,2026-09-01 00:40:34,10,Convention Center Arena,37.78188,-122.39566,6,University Campus & Med,37.72869,-122.47715,9.29,23.9,1.0,28.59,28.59,4.29,25.73,1,Clear,0,1,0
REQ_202609010042_10_006,2026-09-01 00:42:11,10,Convention Center Arena,37.78267,-122.40376,8,Sunset Residential District,37.77973,-122.47715,6.46,18.4,1.0,21.56,21.56,0.0,16.17,1,Clear,0,1,0
REQ_202609010042_7_006,2026-09-01 00:42:47,7,Marina & Golden Gate View,37.80362,-122.45111,8,Sunset Residential District,37.7585,-122.5001,6.61,18.0,1.0,21.7,21.7,3.26,19.53,1,Clear,0,1,0
REQ_202609010042_10_010,2026-09-01 00:42:58,10,Convention Center Arena,37.77842,-122.40193,8,Sunset Residential District,37.73509,-122.48184,8.52,22.6,1.0,26.74,26.74,0.0,20.06,1,Clear,0,1,0
REQ_202609010043_3_007,2026-09-01 00:43:25,3,Metro Int'l Airport,37.63263,-122.36959,1,Downtown Financial,37.77707,-122.38064,16.09,43.6,1.0,47.72,47.72,7.16,42.95,1,Clear,0,1,0
REQ_202609010043_3_000,2026-09-01 00:43:39,3,Metro Int'l Airport,37.63284,-122.37327,4,Waterfront & Pier Dining,37.78274,-122.41228,17.02,43.9,1.0,49.5,49.5,7.42,44.54,1,Clear,0,1,0
REQ_202609010044_7_001,2026-09-01 00:44:12,7,Marina & Golden Gate View,37.79756,-122.43472,9,Central Railway Station,37.77313,-122.41801,3.09,11.0,1.0,12.91,12.91,0.0,9.68,1,Clear,0,1,0
REQ_202609010044_3_002,2026-09-01 00:44:14,3,Metro Int'l Airport,37.6016,-122.38887,8,Sunset Residential District,37.76416,-122.49813,20.47,52.7,1.0,58.8,58.8,8.82,52.92,2,Clear,0,1,0
REQ_202609010044_8_004,2026-09-01 00:44:17,8,Sunset Residential District,37.7537,-122.49581,2,Midtown Tech Hub,37.80777,-122.39634,10.61,26.5,1.0,31.87,31.87,0.0,23.9,3,Clear,0,1,0
REQ_202609010044_5_002,2026-09-01 00:44:52,5,Mission Nightlife & Arts,37.76149,-122.39817,6,University Campus & Med,37.7436,-122.43014,3.44,9.9,1.0,13.16,13.16,1.97,11.84,1,Clear,0,1,0
REQ_202609010045_4_001,2026-09-01 00:45:29,4,Waterfront & Pier Dining,37.80866,-122.41814,7,Marina & Golden Gate View,37.80612,-122.43911,1.86,7.5,1.0,9.48,9.48,0.0,7.11,1,Clear,0,1,0
REQ_202609010045_6_015,2026-09-01 00:45:34,6,University Campus & Med,37.75986,-122.45188,2,Midtown Tech Hub,37.79865,-122.43568,4.54,13.5,1.0,16.4,16.4,2.46,14.76,2,Clear,0,1,0
REQ_202609010046_4_002,2026-09-01 00:46:32,4,Waterfront & Pier Dining,37.81082,-122.42259,3,Metro Int'l Airport,37.6435,-122.37305,19.11,48.0,1.0,54.7,54.7,8.2,49.23,2,Clear,0,1,0
REQ_202609010046_1_003,2026-09-01 00:46:34,1,Downtown Financial,37.79911,-122.40297,9,Central Railway Station,37.78284,-122.4017,1.81,8.1,1.0,9.6,9.6,0.0,7.2,1,Clear,0,1,0
REQ_202609010048_10_011,2026-09-01 00:48:06,10,Convention Center Arena,37.78849,-122.40123,4,Waterfront & Pier Dining,37.81444,-122.42969,3.82,11.4,1.0,14.36,14.36,2.15,12.92,1,Clear,0,1,0
REQ_202609010051_3_004,2026-09-01 00:51:12,3,Metro Int'l Airport,37.61805,-122.41222,6,University Campus & Med,37.76868,-122.47424,17.62,47.0,1.0,51.66,51.66,0.0,38.74,1,Clear,0,1,0
REQ_202609010056_8_003,2026-09-01 00:56:16,8,Sunset Residential District,37.74485,-122.49337,10,Convention Center Arena,37.76778,-122.39773,8.79,24.9,1.0,28.03,28.03,4.2,25.22,2,Clear,0,1,0
REQ_202609010056_3_003,2026-09-01 00:56:52,3,Metro Int'l Airport,37.62385,-122.37506,5,Mission Nightlife & Arts,37.76136,-122.40027,15.45,39.9,1.0,45.28,45.28,0.0,33.96,1,Clear,0,1,0
REQ_202609010057_10_007,2026-09-01 00:57:08,10,Convention Center Arena,37.78619,-122.39101,8,Sunset Residential District,37.74533,-122.49094,9.89,26.3,1.0,30.51,30.51,0.0,22.88,1,Clear,0,1,0
REQ_202609010057_6_011,2026-09-01 00:57:19,6,University Campus & Med,37.75718,-122.44766,10,Convention Center Arena,37.79556,-122.42268,4.8,13.2,1.0,16.76,16.76,2.51,15.08,1,Clear,0,1,0
REQ_202609010057_6_003,2026-09-01 00:57:52,6,University Campus & Med,37.77158,-122.45358,9,Central Railway Station,37.77424,-122.38281,6.23,18.2,1.0,21.08,21.08,0.0,15.81,1,Clear,0,1,0
REQ_202609010058_3_006,2026-09-01 00:58:48,3,Metro Int'l Airport,37.63126,-122.37981,8,Sunset Residential District,37.75817,-122.47883,16.58,43.2,1.0,48.47,48.47,0.0,36.35,1,Clear,0,1,0
REQ_202609010059_1_001,2026-09-01 00:59:15,1,Downtown Financial,37.78679,-122.40312,4,Waterfront & Pier Dining,37.80554,-122.41556,2.35,7.9,1.0,10.5,10.5,1.58,9.46,2,Clear,0,1,0
REQ_202609010059_6_010,2026-09-01 00:59:30,6,University Campus & Med,37.74875,-122.4606,8,Sunset Residential District,37.76586,-122.4884,3.1,9.7,1.0,12.47,12.47,0.0,9.35,1,Clear,0,1,0
REQ_202609010059_1_005,2026-09-01 00:59:59,1,Downtown Financial,37.79797,-122.40792,2,Midtown Tech Hub,37.76078,-122.41785,4.23,12.3,1.0,15.41,15.41,0.0,11.56,1,Clear,0,1,0
REQ_202609010100_7_002,2026-09-01 01:00:39,7,Marina & Golden Gate View,37.80053,-122.44807,8,Sunset Residential District,37.77619,-122.50934,6.03,16.8,1.0,20.23,20.23,0.0,15.17,1,Clear,1,1,0
REQ_202609010101_6_003,2026-09-01 01:01:37,6,University Campus & Med,37.77484,-122.45269,2,Midtown Tech Hub,37.78178,-122.41521,3.38,12.2,1.0,13.86,13.86,2.08,12.48,1,Clear,1,1,0
REQ_202609010101_10_005,2026-09-01 01:01:59,10,Convention Center Arena,37.77794,-122.4049,5,Mission Nightlife & Arts,37.77042,-122.40533,1.2,4.0,1.0,7.06,7.06,1.06,6.36,1,Clear,1,1,0
REQ_202609010102_4_001,2026-09-01 01:02:24,4,Waterfront & Pier Dining,37.81028,-122.41884,2,Midtown Tech Hub,37.75027,-122.43606,6.84,20.0,1.0,22.82,22.82,3.42,20.54,1,Clear,1,1,0
REQ_202609010102_10_003,2026-09-01 01:02:41,10,Convention Center Arena,37.78399,-122.39048,1,Downtown Financial,37.7808,-122.39555,1.2,6.2,1.0,7.83,7.83,0.0,5.87,3,Clear,1,1,0
REQ_202609010103_6_005,2026-09-01 01:03:05,6,University Campus & Med,37.76225,-122.44729,3,Metro Int'l Airport,37.64658,-122.3859,13.95,38.6,1.0,42.12,42.12,6.32,37.91,1,Clear,1,1,0
REQ_202609010103_8_002,2026-09-01 01:03:33,8,Sunset Residential District,37.7568,-122.5052,6,University Campus & Med,37.74949,-122.44428,5.42,15.4,1.0,18.64,18.64,2.8,16.78,1,Clear,1,1,0
REQ_202609010104_3_011,2026-09-01 01:04:04,3,Metro Int'l Airport,37.60892,-122.37185,10,Convention Center Arena,37.7784,-122.4186,19.29,51.0,1.0,56.07,56.07,0.0,42.05,2,Clear,1,1,0
REQ_202609010109_7_003,2026-09-01 01:09:28,7,Marina & Golden Gate View,37.80639,-122.44038,1,Downtown Financial,37.82195,-122.4203,2.47,6.9,1.0,10.36,10.36,1.55,9.32,1,Clear,1,1,0
REQ_202609010109_2_000,2026-09-01 01:09:29,2,Midtown Tech Hub,37.76465,-122.40889,1,Downtown Financial,37.78864,-122.36722,4.53,10.5,1.0,15.33,15.33,2.3,13.8,2,Clear,1,1,0
REQ_202609010109_10_001,2026-09-01 01:09:32,10,Convention Center Arena,37.78842,-122.40816,1,Downtown Financial,37.78535,-122.39189,1.47,6.1,1.0,8.28,8.28,0.0,6.21,1,Clear,1,1,0
REQ_202609010111_6_004,2026-09-01 01:11:07,6,University Campus & Med,37.77222,-122.45663,4,Waterfront & Pier Dining,37.81583,-122.40196,6.83,18.5,1.0,22.26,22.26,0.0,16.7,3,Clear,1,1,0
REQ_202609010111_7_004,2026-09-01 01:11:36,7,Marina & Golden Gate View,37.79282,-122.43216,9,Central Railway Station,37.79155,-122.37955,4.63,13.8,1.0,16.66,16.66,0.0,12.5,1,Clear,1,1,0
REQ_202609010112_3_010,2026-09-01 01:12:33,3,Metro Int'l Airport,37.6218,-122.3644,2,Midtown Tech Hub,37.80082,-122.42344,20.57,53.3,1.0,59.19,59.19,8.88,53.27,2,Clear,1,1,0
REQ_202609010114_9_001,2026-09-01 01:14:03,9,Central Railway Station,37.77814,-122.39597,2,Midtown Tech Hub,37.7848,-122.41134,1.54,4.7,1.0,7.92,7.92,1.19,7.13,1,Clear,1,1,0
REQ_202609010114_3_003,2026-09-01 01:14:58,3,Metro Int'l Airport,37.62941,-122.37733,6,University Campus & Med,37.75121,-122.44856,14.92,39.1,1.0,44.05,44.05,6.61,39.65,2,Clear,1,1,0
REQ_202609010117_8_000,2026-09-01 01:17:16,8,Sunset Residential District,37.7457,-122.48391,1,Downtown Financial,37.7916,-122.38482,10.1,28.4,1.0,31.61,31.61,0.0,23.71,1,Clear,1,1,0
REQ_202609010118_3_002,2026-09-01 01:18:07,3,Metro Int'l Airport,37.64058,-122.36293,6,University Campus & Med,37.77384,-122.44529,16.49,43.7,1.0,48.48,48.48,0.0,36.36,1,Clear,1,1,0
REQ_202609010118_6_007,2026-09-01 01:18:21,6,University Campus & Med,37.76669,-122.47373,3,Metro Int'l Airport,37.61867,-122.39039,18.02,46.6,1.0,52.24,52.24,0.0,39.18,2,Clear,1,1,0
REQ_202609010118_6_006,2026-09-01 01:18:54,6,University Campus & Med,37.77028,-122.44447,8,Sunset Residential District,37.74994,-122.49444,4.94,14.3,1.0,17.4,17.4,0.0,13.05,1,Clear,1,1,0
REQ_202609010119_3_008,2026-09-01 01:19:04,3,Metro Int'l Airport,37.60622,-122.40229,2,Midtown Tech Hub,37.772,-122.43226,18.62,47.8,1.0,53.75,53.75,0.0,40.31,1,Clear,1,1,0
REQ_202609010121_4_007,2026-09-01 01:21:16,4,Waterfront & Pier Dining,37.79985,-122.4122,9,Central Railway Station,37.76862,-122.38934,4.01,13.6,1.0,15.48,15.48,2.32,13.93,1,Clear,1,1,0
REQ_202609010122_1_002,2026-09-01 01:22:54,1,Downtown Financial,37.79172,-122.40668,9,Central Railway Station,37.78783,-122.41194,1.2,4.5,1.0,7.24,7.24,1.09,6.52,1,Clear,1,1,0
REQ_202609010123_6_009,2026-09-01 01:23:49,6,University Campus & Med,37.76492,-122.44945,4,Waterfront & Pier Dining,37.80676,-122.4233,5.19,16.5,1.0,18.62,18.62,2.79,16.76,1,Clear,1,1,0
REQ_202609010124_2_001,2026-09-01 01:24:38,2,Midtown Tech Hub,37.78067,-122.42746,5,Mission Nightlife & Arts,37.77645,-122.39753,2.67,8.8,1.0,11.39,11.39,1.71,10.25,1,Clear,1,1,0
REQ_202609010125_3_000,2026-09-01 01:25:01,3,Metro Int'l Airport,37.60625,-122.37944,9,Central Railway Station,37.80356,-122.41837,22.21,57.1,1.0,63.46,63.46,9.52,57.11,2,Clear,1,1,0
REQ_202609010126_4_004,2026-09-01 01:26:37,4,Waterfront & Pier Dining,37.81029,-122.41659,10,Convention Center Arena,37.78162,-122.40655,3.31,9.4,1.0,12.74,12.74,1.91,11.46,1,Clear,1,1,0
REQ_202609010126_5_003,2026-09-01 01:26:45,5,Mission Nightlife & Arts,37.75773,-122.41463,6,University Campus & Med,37.76108,-122.47792,5.58,14.5,1.0,18.61,18.61,2.79,16.75,1,Clear,1,1,0
REQ_202609010128_9_002,2026-09-01 01:28:46,9,Central Railway Station,37.78696,-122.38998,4,Waterfront & Pier Dining,37.79725,-122.39432,1.21,4.0,1.0,7.07,7.07,1.06,6.36,2,Clear,1,1,0
REQ_202609010128_1_000,2026-09-01 01:28:48,1,Downtown Financial,37.78892,-122.40512,9,Central Railway Station,37.75224,-122.38449,4.46,13.4,1.0,16.22,16.22,2.43,14.6,1,Clear,1,1,0
REQ_202609010129_7_000,2026-09-01 01:29:22,7,Marina & Golden Gate View,37.80987,-122.44648,2,Midtown Tech Hub,37.79816,-122.41234,3.27,9.9,1.0,12.85,12.85,1.93,11.57,1,Clear,1,1,0
REQ_202609010129_1_001,2026-09-01 01:29:37,1,Downtown Financial,37.79893,-122.40384,9,Central Railway Station,37.78057,-122.41611,2.31,7.0,1.0,10.11,10.11,1.52,9.1,1,Clear,1,1,0
REQ_202609010130_9_003,2026-09-01 01:30:06,9,Central Railway Station,37.77726,-122.39013,8,Sunset Residential District,37.74307,-122.48629,9.27,25.7,1.0,29.18,29.18,4.38,26.26,1,Clear,1,1,0
REQ_202609010130_10_007,2026-09-01 01:30:46,10,Convention Center Arena,37.78063,-122.39994,9,Central Railway Station,37.75579,-122.43003,3.82,11.1,1.0,14.27,14.27,0.0,10.7,4,Clear,1,1,0
REQ_202609010132_6_002,2026-09-01 01:32:09,6,University Campus & Med,37.7638,-122.4573,10,Convention Center Arena,37.77229,-122.40504,4.69,13.6,1.0,16.7,16.7,0.0,12.52,1,Clear,1,1,0
REQ_202609010132_3_006,2026-09-01 01:32:15,3,Metro Int'l Airport,37.63506,-122.36636,2,Midtown Tech Hub,37.77356,-122.4065,15.8,41.5,1.0,46.47,46.47,6.97,41.82,4,Clear,1,1,0
REQ_202609010132_1_004,2026-09-01 01:32:22,1,Downtown Financial,37.79089,-122.39545,3,Metro Int'l Airport,37.60268,-122.39124,20.93,55.6,1.0,60.64,60.64,0.0,45.48,1,Clear,1,1,0
REQ_202609010133_3_005,2026-09-01 01:33:02,3,Metro Int'l Airport,37.61097,-122.36301,8,Sunset Residential District,37.77466,-122.51457,22.56,58.6,1.0,64.63,64.63,9.69,58.16,2,Clear,1,1,0
REQ_202609010133_2_002,2026-09-01 01:33:16,2,Midtown Tech Hub,37.78537,-122.41779,8,Sunset Residential District,37.71433,-122.49948,10.68,27.8,1.0,32.45,32.45,4.87,29.21,1,Clear,1,1,0
REQ_202609010133_1_003,2026-09-01 01:33:34,1,Downtown Financial,37.79175,-122.39583,9,Central Railway Station,37.76289,-122.4204,3.87,10.8,1.0,14.24,14.24,0.0,10.68,1,Clear,1,1,0
REQ_202609010135_4_005,2026-09-01 01:35:01,4,Waterfront & Pier Dining,37.80813,-122.41041,8,Sunset Residential District,37.76279,-122.51439,10.44,27.8,1.0,32.02,32.02,0.0,24.02,2,Clear,1,1,0
REQ_202609010136_9_000,2026-09-01 01:36:14,9,Central Railway Station,37.78644,-122.39128,7,Marina & Golden Gate View,37.80992,-122.4242,3.9,12.5,1.0,14.89,14.89,0.0,11.17,3,Clear,1,1,0
REQ_202609010139_4_003,2026-09-01 01:39:26,4,Waterfront & Pier Dining,37.80984,-122.41406,9,Central Railway Station,37.78586,-122.37837,4.12,13.1,1.0,15.49,15.49,2.32,13.94,2,Clear,1,1,0
REQ_202609010139_2_005,2026-09-01 01:39:34,2,Midtown Tech Hub,37.77564,-122.41245,9,Central Railway Station,37.77843,-122.39231,1.8,7.1,1.0,9.22,9.22,0.0,6.92,1,Clear,1,1,0
